ID,Title,State,Priority,Type,Phase,IsEpic,ParentID,EstimatedHours,DependsOn,BlockedBy,Blocks,Assignees,Milestone,URL
884,"Implement /issue-create slash command - Issue作成コマンド",CLOSED,"priority:P0-Critical","type:feature","no-phase",false,,40,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/884
1049,"🔐 [Miyabi Console] Authentication & Authorization",OPEN,"⚠️ priority:P1-High","✨ type:feature","🎯 phase:planning",false,,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1049
1045,"🔌 [Miyabi Console] Rust Backend API Integration",OPEN,"⚠️ priority:P1-High","✨ type:feature","no-phase",false,,1,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1045
1029,"⚙️ CI/CD Pipeline: GitHub Actions Setup",CLOSED,"⚠️ priority:P1-High","✨ type:feature","🏗️ phase:implementation",false,1018,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1029
1028,"🎭 E2E Testing: Critical User Flows (Playwright)",OPEN,"⚠️ priority:P1-High","✨ type:feature","🏗️ phase:implementation",false,1018,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1028
1027,"🎨 Frontend Testing: Component Tests (70% Coverage)",OPEN,"⚠️ priority:P1-High","✨ type:feature","🏗️ phase:implementation",false,1018,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1027
1026,"🧪 Backend Testing: Unit Tests (85% Coverage)",OPEN,"⚠️ priority:P1-High","✨ type:feature","🏗️ phase:implementation",false,1018,10,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1026
1024,"🔗 Day 6: Frontend Connection & E2E Integration Testing",OPEN,"⚠️ priority:P1-High","✨ type:feature","🏗️ phase:implementation",false,1018,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1024
1015,"[Pantheon Webapp] Implement Ask the Pantheon - Interactive AI Consultation (Premium)",OPEN,"⚠️ priority:P1-High","✨ type:feature","🏗️ phase:implementation",false,,14,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1015
1009,"[Miyabi Console] Implement Agents Page - Agent Management & Configuration",CLOSED,"⚠️ priority:P1-High","✨ type:feature","🏗️ phase:implementation",false,,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1009
977,"🎯 [MASTER] Miyabi Reconstruction - Team Coordination & Context Preservation",OPEN,"⚠️ priority:P1-High","✨ type:feature","no-phase",true,976,2.5,"","","","",Miyabi Reconstruction: Complete System Rebuild,https://github.com/customer-cloud/miyabi-private/issues/977
976,"Phase 1.5: JWT Authentication Implementation",OPEN,"⚠️ priority:P1-High","✨ type:feature","🎯 phase:foundation",true,,10,"","","","",Miyabi Reconstruction: Complete System Rebuild,https://github.com/customer-cloud/miyabi-private/issues/976
975,"Phase 1.4: RBAC Implementation",OPEN,"⚠️ priority:P1-High","✨ type:feature","🎯 phase:foundation",true,,14,"","","","",Miyabi Reconstruction: Complete System Rebuild,https://github.com/customer-cloud/miyabi-private/issues/975
974,"Phase 1.3: Organization/Team Schema Implementation",OPEN,"⚠️ priority:P1-High","✨ type:feature","🎯 phase:foundation",true,,20,"","","","",Miyabi Reconstruction: Complete System Rebuild,https://github.com/customer-cloud/miyabi-private/issues/974
973,"Phase 1.2: Base Schema Migration",OPEN,"⚠️ priority:P1-High","✨ type:feature","🎯 phase:foundation",true,,14,"","","","",Miyabi Reconstruction: Complete System Rebuild,https://github.com/customer-cloud/miyabi-private/issues/973
972,"Phase 1.1: PostgreSQL Connection Enablement",OPEN,"⚠️ priority:P1-High","✨ type:feature","🎯 phase:foundation",true,,10,"","","","",Miyabi Reconstruction: Complete System Rebuild,https://github.com/customer-cloud/miyabi-private/issues/972
971,"🎯 [P0] Miyabi Reconstruction - Master Dependency Graph & Phase Structure",OPEN,"⚠️ priority:P1-High","✨ type:feature","no-phase",true,,20,"","","","",Miyabi Reconstruction: Complete System Rebuild,https://github.com/customer-cloud/miyabi-private/issues/971
969,"🔍 プロジェクト構造の根本的な問題調査と改善提案",OPEN,"⚠️ priority:P1-High","🐛 type:bug","no-phase",false,,8,"","","","",Miyabi Reconstruction: Complete System Rebuild,https://github.com/customer-cloud/miyabi-private/issues/969
968,"[P0] Kazuaki Agent - コスト閾値の明確化",OPEN,"⚠️ priority:P1-High","📚 type:docs","no-phase",true,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/968
967,"[P0] Kazuaki Agent - Rust-Pythonブリッジの詳細化",OPEN,"⚠️ priority:P1-High","📚 type:docs","no-phase",true,966,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/967
966,"[P0] Kazuaki Agent - IAM権限要件の文書化",OPEN,"⚠️ priority:P1-High","📚 type:docs","no-phase",true,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/966
965,"[P0] Kazuaki Agent - キャラクター性格の拡充",OPEN,"⚠️ priority:P1-High","📚 type:docs","no-phase",true,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/965
897,"Implement /health-check slash command - ヘルスチェックコマンド",CLOSED,"priority:P1-High","type:feature","no-phase",false,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/897
896,"Implement /logs slash command - ログ表示コマンド",CLOSED,"priority:P1-High","type:feature","no-phase",false,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/896
895,"Implement /deploy-status slash command - デプロイ状況確認コマンド",CLOSED,"priority:P1-High","type:feature","no-phase",false,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/895
894,"Implement /quality-score slash command - 品質スコア表示コマンド",CLOSED,"priority:P1-High","type:feature","no-phase",false,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/894
893,"Implement /pr-list slash command - PR一覧コマンド",CLOSED,"priority:P1-High","type:feature","no-phase",false,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/893
892,"Implement /worktree-list slash command - Worktree一覧コマンド",CLOSED,"priority:P1-High","type:feature","no-phase",false,,8,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/892
1047,"🧪 [Miyabi Console] Comprehensive Testing Suite",OPEN,"📊 priority:P2-Medium","✨ type:feature","no-phase",false,,1,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1047
1046,"🔄 [Miyabi Console] WebSocket Real-time Updates",OPEN,"📊 priority:P2-Medium","✨ type:feature","no-phase",false,,1,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1046
1030,"🧪 Test: Codex Autonomous Coordinator - System Verification",OPEN,"📊 priority:P2-Medium","✨ type:feature","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1030
1025,"🔒 Day 7: SSL Setup, Documentation & Final Validation",OPEN,"📊 priority:P2-Medium","✨ type:feature","🏗️ phase:implementation",false,1018,2.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1025
1017,"[Pantheon Webapp] Implement Miyabi Integration Dashboard - Real-time Agent Activity",OPEN,"📊 priority:P2-Medium","✨ type:feature","🏗️ phase:implementation",false,,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1017
1016,"[Pantheon Webapp] Implement Divisions Page - Deep Dive into 5 Divisions",OPEN,"📊 priority:P2-Medium","✨ type:feature","🏗️ phase:implementation",false,,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1016
1014,"[Pantheon Webapp] Implement Enhanced Advisors Page - Searchable Directory",OPEN,"📊 priority:P2-Medium","✨ type:feature","🏗️ phase:implementation",false,,6,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1014
1013,"[Pantheon Webapp] Implement About Page - Project Vision & Miyabi Integration",OPEN,"📊 priority:P2-Medium","✨ type:feature","🏗️ phase:implementation",false,,3.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1013
1011,"[Miyabi Console] Implement Organizations Page - Multi-Tenant Management",OPEN,"📊 priority:P2-Medium","✨ type:feature","🏗️ phase:implementation",false,,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1011
1010,"[Miyabi Console] Implement Workflows Page - Visual Workflow Automation Builder",OPEN,"📊 priority:P2-Medium","✨ type:feature","🏗️ phase:implementation",false,,10,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1010
964,"[Agent][P1] Kazuaki AWS Architect Agent - 仕様改善マスターIssue",OPEN,"📊 priority:P2-Medium","✨ type:feature","no-phase",false,,25,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/964
909,"Test Issue #884 - IssueAgent Integration Test",CLOSED,"priority:P2-Medium","type:feature","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/909
903,"Implement /knowledge-search slash command - ナレッジ検索コマンド",CLOSED,"priority:P2-Medium","type:feature","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/903
902,"Implement /deploy-rollback slash command - ロールバックコマンド",CLOSED,"priority:P2-Medium","type:feature","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/902
901,"Implement /pr-auto-merge slash command - PR自動マージコマンド",CLOSED,"priority:P2-Medium","type:feature","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/901
900,"Implement /parallel-execute slash command - 並列実行コマンド",CLOSED,"priority:P2-Medium","type:feature","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/900
899,"Implement /dag-visualize slash command - DAG可視化コマンド",CLOSED,"priority:P2-Medium","type:feature","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/899
898,"Implement /issue-analyze slash command - Issue分析コマンド",CLOSED,"priority:P2-Medium","type:feature","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/898
1050,"✨ [Miyabi Console] New Feature Pages",OPEN,"📝 priority:P3-Low","✨ type:feature","no-phase",false,,3.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1050
1048,"🚀 [Miyabi Console] Performance Optimization",OPEN,"📝 priority:P3-Low","✨ type:feature","no-phase",false,,1,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1048
1012,"[Miyabi Console] Implement Notifications Page - Centralized Notification Center",OPEN,"📝 priority:P3-Low","✨ type:feature","🏗️ phase:implementation",false,,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1012
908,"Test Issue for #884 - Automated Test",CLOSED,"priority:P3-Low","type:test","no-phase",false,,2,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/908
907,"Implement /db-backup slash command - データベースバックアップコマンド",CLOSED,"priority:P3-Low","type:feature","no-phase",false,,2,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/907
906,"Implement /history-search slash command - 履歴検索コマンド",CLOSED,"priority:P3-Low","type:feature","no-phase",false,,2,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/906
905,"Implement /worktree-cleanup slash command - Worktree削除コマンド",CLOSED,"priority:P3-Low","type:feature","no-phase",false,,2,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/905
904,"Implement /issue-batch slash command - Issue一括作成コマンド",CLOSED,"priority:P3-Low","type:feature","no-phase",false,,2,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/904
1044,"docs: Obsidian Documentation メンテナンスガイド作成",OPEN,"no-priority","📚 type:docs","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1044
1043,"refactor: PlantUML構文エラー修正とPNG再生成",OPEN,"no-priority","📚 type:docs","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1043
1042,"docs: Obsidian Documentation System - 最終動作確認とバリデーション",OPEN,"no-priority","📚 type:docs","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1042
1006,"🎨 [P2] Create Miyabi Console - Full Accessible UI/UX for Agent Orchestration",OPEN,"no-priority","no-type","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1006
1005,"🆕 [P1] Phase 3: Connect Dashboard to Production API",OPEN,"no-priority","no-type","no-phase",false,,1,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1005
1004,"🐛 [P0] Lambda Function HTTP Response Issue - Fix lambda_http and Axum integration",CLOSED,"no-priority","no-type","no-phase",false,,4,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1004
1003,"📚 [EPIC] Documentation Optimization v1.1 - Improve Navigation & Reduce Complexity",CLOSED,"no-priority","no-type","no-phase",true,,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1003
1002,"📊 Phase 3.4: Navigation Analytics & Hot Topics",CLOSED,"no-priority","no-type","no-phase",false,,5.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1002
1001,"🗄️ Phase 3.3: Complete Archive Cleanup (Final Pass)",CLOSED,"no-priority","no-type","no-phase",false,,9,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1001
1000,"🤖 Phase 3.2: Automated Index Update Scripts",CLOSED,"no-priority","no-type","no-phase",false,,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/1000
999,"🔄 Phase 3.1: Implement Index Validation Workflow",CLOSED,"no-priority","no-type","no-phase",false,,4.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/999
998,"🗄️ Phase 2.3: Archive Inactive Content (First Pass)",CLOSED,"no-priority","no-type","no-phase",false,,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/998
997,"📊 Phase 2.2: Create Cross-Reference Matrix",CLOSED,"no-priority","no-type","no-phase",false,,3.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/997
996,"📚 Phase 2.1: Consolidate Overlapping Directories (11% reduction)",CLOSED,"no-priority","no-type","no-phase",false,,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/996
993,"Phase 4.6: Production Launch (2-3h)",OPEN,"no-priority","no-type","no-phase",false,977,2.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/993
992,"Phase 4.5: Documentation & Runbooks (2-3h)",OPEN,"no-priority","no-type","no-phase",false,977,2.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/992
991,"Phase 4.4: Disaster Recovery & Rollback (2-3h)",OPEN,"no-priority","no-type","no-phase",false,977,2.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/991
990,"Phase 4.3: Monitoring & Alerting Setup (2-3h)",OPEN,"no-priority","no-type","no-phase",false,977,2.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/990
989,"Phase 4.2: Security Audit & Penetration Testing (6-8h)",OPEN,"no-priority","no-type","no-phase",false,977,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/989
988,"Phase 4.1: Load Testing & Performance Validation (12-16h)",OPEN,"no-priority","no-type","no-phase",false,977,14,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/988
987,"Phase 2.5: AWS Lambda Deployment & CloudWatch Monitoring",OPEN,"no-priority","no-type","no-phase",false,977,9,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/987
986,"Phase 2.4: Uncomment & Test Existing APIs",OPEN,"no-priority","no-type","no-phase",false,977,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/986
985,"Phase 2.3: Worker & Coordinator Status APIs",OPEN,"no-priority","no-type","no-phase",false,977,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/985
984,"Phase 2.2: Task Management API Implementation",OPEN,"no-priority","no-type","no-phase",false,977,9,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/984
983,"Phase 2.1: Service Layer Refactoring",OPEN,"no-priority","no-type","no-phase",false,977,11,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/983
982,"Phase 3.5: CloudFront Redeployment & E2E Testing",OPEN,"no-priority","no-type","no-phase",false,977,6,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/982
981,"Phase 3.4: Authentication Flow Implementation",OPEN,"no-priority","no-type","no-phase",false,977,2.5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/981
980,"Phase 3.3: Real-Time WebSocket Integration",OPEN,"no-priority","no-type","no-phase",false,977,5,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/980
979,"Phase 3.2: Dashboard UI Modernization",OPEN,"no-priority","no-type","no-phase",false,977,9,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/979
978,"Phase 3.1: API Client Implementation",OPEN,"no-priority","no-type","no-phase",false,977,7,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/978
883,"feat(orchestra): Phase 3 - 200-Agent Live Experiment & Production Readiness",OPEN,"no-priority","no-type","no-phase",false,,1,"","","","",,https://github.com/customer-cloud/miyabi-private/issues/883
882,"🐛 Fix build script syntax error in scripts/build-line-bot.sh:25",CLOSED,"no-priority","no-type","no-phase",false,,4,"","","","ShunsukeHayashi",,https://github.com/customer-cloud/miyabi-private/issues/882
